conference,paper,year,title,conceptual paper,DASA,Open access,batch,reviewer 2,input data,methods/analysis/processing,computational environment,results,reviewer 2 notes,AGILE Reproducible badge,AGILE Reproducible report
agile,agile_2017_001,2017,Investigating Representations of Places with Unclear Spatial Extent in Sketch Maps,F,no,no,3,EK,1 documented,1 documented,F,1 documented,"Not 100% sure about this one. The input data are sketch maps, which are not fully provided, only example instances. Then some diagrams were computed based on the used symbols, but scripts are also not available. The computational need is minimal.",NA,NA
agile,agile_2017_002,2017,Mining Rainfall Spatio-Temporal Patterns in Twitter: A Temporal Approach,F,no,no,3,RD,3 available & open,1 documented,F,1 documented,"Found paper on Sci-hub
- input: Data is provided through a link from the author's university. I could not find the DOI, but it seems that the data warehouse is permanent.
- methodology / results: no link provided but well explained in the mansuscript.",NA,NA
agile,agile_2017_003,2017,Residential Choices as a Driving Force to Vertical Segregation in Whitechapel,F,no,no,3,ST,0 undocumented,1 documented,F,1 documented,"Input Data: data referenced from spatio-temporal surveys in Whitechapel, no direct links, DOIs, or publicly accessible datasets mentioned.
Methods: spatial analysis methods, including Moran’s I index and GIS-based segregation analysis, described; no code provided.
Results: results presented in figures and tables, including segregation indices and demographic patterns; no output data mentioned or shared.
Computational Environment: GIS tools referenced, but no specific hardware, software, OS, or runtime details provided.",NA,NA
agile,agile_2017_004,2017,Reference Resolution for Pedestrian Wayfinding Systems,F,no,no,3,MM,2 available,1 documented,F,1 documented,Data: requires registration,NA,NA
agile,agile_2017_005,2017,3D Building Maps for Everyone—Mapping Buildings Using VGI,T,no,no,3,PK,NA,1 documented,F,NA,"The paper is a demonstration of a building modelling system. There are computational element described, but not empirical tests of claims. As presented it would be very difficult to reproduce the demo. ",NA,NA
agile,agile_2017_006,2017,Follow the Signs—Countering Disengagement from the Real World During City Exploration,F,no,no,3,AG,1 documented,1 documented,F,1 documented,"Data: signage data not provided but may be recreated with some effort
Method: app code not provided",NA,NA
agile,agile_2017_007,2017,Perspectives in Externalizations of Mental Spatial Representations,T,no,no,3,TN,NA,NA,F,NA,"TN:
!potential conflict of interest due to previous employment and supervisory relationship!
Paper analysing differences between properties of spatial descriptions. User study conducted, no raw and anonymised data available. As there seems to be no computational analysis performed, I categorise this paper as ""conceptual"".",NA,NA
agile,agile_2017_008,2017,Personal Dimensions of Landmarks,T,no,no,3,DN,NA,NA,F,NA,DN: conceptual paper.,NA,NA
agile,agile_2017_009,2017,Personal Activity Centres and Geosocial Data Analysis: Combining Big Data with Small Data,F,no,no,3,EK,1 documented,1 documented,F,1 documented,"- Input data similar to original should still be retreavable with X/Twitter API
- No DASA, no repo, no Github, no shared code/scripts",NA,NA
agile,agile_2017_010,2017,Spatio-Temporal Road Coverage of Probe Vehicles: A Case Study on Crowd-Sensing of Parking Availability with Taxis,F,no,no,3,RD,0 undocumented,1 documented,F,1 documented,"- Input: The authors used data from real-world trajectories of taxis and parking sensors in San Francisco. No examples or data structure are provided. Additionally, they used OSM data without explicitly specifying the filter fields.
- Methodology/results: No link is provided, but the pipeline is broadly described.",NA,NA
agile,agile_2017_011,2017,A Big Geo Data Query Framework to Correlate Open Data with Social Network Geotagged Posts,F,no,no,3,ST,1 documented,1 documented,F,1 documented,"Input data: JSON/GeoJSON examples
Methods: formal syntax and examples
Results: structured JSON outputs
Computational Environment: no technical specifications
The work is a conceptual contribution ",NA,NA
agile,agile_2017_012,2017,Towards Automatic Large-Scale 3D Building Reconstruction: Primitive Decomposition and Assembly,F,no,no,3,MM,0 undocumented,0 undocumented,F,1 documented,"Data: can't find the dataset
Methods: no program or libraries mentioned
Comp: HW and computing time, but no SW or libraries",NA,NA
agile,agile_2017_013,2017,Dynamic Transfer Patterns for Fast Multi-modal Route Planning,F,no,no,3,PK,0 undocumented,0 undocumented,F,1 documented,Data: Unlikely will be able to rebuild the dataset,NA,NA
agile,agile_2017_014,2017,The Effect of Regional Variation and Resolution on Geosocial Thematic Signatures for Points of Interest,F,no,no,3,AG,1 documented,1 documented,F,1 documented,"Data: Foursquare (used to be available, but not sure anymore)
Method: no repo",NA,NA
agile,agile_2017_015,2017,Distance Measure Based on Spatiotemporal Coexistence of Residents and Its Application to Urban Analysis,F,no,no,3,TN,0 undocumented,1 documented,F,1 documented,"TN: 
- input data mentioned (Tokyo Metropolitan Person Trip Survey, 2003 Housing Demand Survey) but no link/reference and so not findable 
- no scripts or raw results available how DM_Score and resulting parameters were calculated but documented by formulas, tables, figures",NA,NA
agile,agile_2017_016,2017,When Granules Are not Enough in a Theory of Granularities,F,no,no,3,DN,0 undocumented,0 undocumented,F,1 documented,DN: paper has a demonstration case for a theoretical model which is described in detail but without code; used tornados dataset not linked at all; no code for map generation; result documentation only through maps of the demonstration case;,NA,NA
agile,agile_2017_017,2017,Assessing Accuracy and Geographical Transferability of Machine Learning Algorithms for Wind Speed Modelling,F,no,no,3,EK,1 documented,1 documented,F,1 documented,"- Torn between 0 and 1 for both data and methods; see below
- Input data should be in principle retrievable from original source but links are missing (also specific parameters needed by data portal UIs)
- The paper compares ML algorithms which are mentioned and justified, but not really described; yet again, this is not the point of the paper",NA,NA
agile,agile_2017_018,2017,On Measures for Groups of Trajectories,T,no,no,3,RD,NA,NA,F,NA,"It seems to me that it's a conceptual paper.
I could not find any link neither description of input data nor methodology. The last section 'Applications of Group Measures' is just a discussion section",NA,NA
agile,agile_2017_019,2017,Beyond Pairs: Generalizing the Geo-dipole for Quantifying Spatial Patterns in Geographic Fields,F,no,no,3,ST,0 undocumented,1 documented,F,1 documented,"Input Data: spatial patterns derived from remotely sensed images are mentioned, but no specific datasets, links, or access details are provided.
Methods: methods like geo-dipole and geo-multipole for spatial analysis are explained in detail, but no code or implementation details provided.
Results: results include figures comparing variograms and multiple-point statistics, but no output data shared.
Computational Environment: tools like Matlab and mGstat mentioned, but no details on hardware, OS, or runtime specifics.",NA,NA
agile,agile_2017_020,2017,20 Years of AGILE,F,no,no,3,MM,NA,NA,F,NA,,NA,NA
agile,agile_2018_001,2018,Evaluating Spatial Data Acquisition and Interpolation Strategies for River Bathymetries,F,no,no,2,ST,0 undocumented,1 documented,F,1 documented,"Input Data: Ohio River bathymetric data referenced (US Army Corps of Engineers), no publicly available and not well described to recreate.
Methods: spatial interpolation methods (IDW, Kriging, RBF) and acquisition strategies (cross-sections, zig-zag trajectories) documented, no code provided.
Results: documented with RMSE and MAE metrics, comparative error analyses, and sensitivity results; ouput data not shared.
Computational Environment: ArcGIS mentioned, but no hardware, OS, or runtime details provided).",NA,NA
agile,agile_2018_002,2018,PLANTING: Computing High Spatio-temporal Resolutions of Photovoltaic Potential of 3D City Models,F,no,no,2,MM,0 undocumented,0 undocumented,F,1 documented,"Data: no source, extent, dates...
Methods: no libraries' versions
Comp: OS and HW, no SW versions",NA,NA
agile,agile_2018_003,2018,Interpolation of Rainfall Through Polynomial Regression in the Marche Region (Central Italy),F,no,no,2,PK,0 undocumented,0 undocumented,F,1 documented,"Methods: Limited description, not enough to recreate w/o heavy effort",NA,NA
agile,agile_2018_004,2018,An Artificial Stream Network and Its Application on Exploring the Effect of DEM Resolution on Hydrological Parameters,F,no,no,2,AG,1 documented,1 documented,F,1 documented,"Data: DEM from USGS (I assume that is still available somewhere)
Method:
Comp en: 
(based on https://www.researchgate.net/publication/323982150_An_Artificial_Stream_Network_and_Its_Application_on_Exploring_the_Effect_of_DEM_Resolution_on_Hydrological_Parameters)",NA,NA
agile,agile_2018_005,2018,"Spatio-Temporal Analysis of Mangrove Loss in Vulnerable Islands of Sundarban World Heritage Site, India",F,no,no,2,TN,1 documented,1 documented,F,1 documented,"TN:
- Data: geographical extent of study area defined by figure, Landsat images used listed in table with corresponding properties, EarthExplorer download with login required 
- Methods: documented by text and figure, if all methods were performed in Erdas this could be the maximum of availability, otherwise scripts are missing, e.g. for change detection analysis (not clearly indicated if Erdas was used only for pre-processing or all parts). 
- Results: documented by text and tables, but no raw data available 
- stated that Erdas Imagine software was used, but no information on version or environment ",NA,NA
agile,agile_2018_006,2018,3D Georeferencing of Historical Photos by Volunteers,F,no,no,2,DN,0 undocumented,0 undocumented,F,1 documented,DN: website still running at https://smapshot.heig-vd.ch/; no mentioning of data access or code; results are documented for me because I can explore the website and try the described system out myself;,F,NA
agile,agile_2018_007,2018,Patterns of Consumption and Connectedness in GIS Web Sources,F,no,no,2,EK,2 available,2 available,F,2 available,"Data (pre-processed), scripts, intermediate and final results available on github;
Python version is obsolete (syntax) and no environment is preserved",NA,NA
agile,agile_2018_008,2018,Charting the Geographies of Crowdsourced Information in Greater London,F,no,no,2,RD,0 undocumented,0 undocumented,F,0 undocumented,"Article found on Sci-hub. I really enjoyed reviewing this paper !
- Data: 3 sources (UK Stats: link still working, Twitter: API has changed but the filters is well documented, Wikipedia geo-tag articles: both geo-tag and wiki articles may have changed: Authors didn't provide a date where they extracted data from wikipedia)
- Code: regression models was used but not well documented 
- Result: Authors didn't describe how they produced table and figures",NA,NA
agile,agile_2018_009,2018,Supporting the Monitoring of Cheetahs in Kenya by Mobile Map Apps,F,no,no,2,ST,0 undocumented,0 undocumented,F,1 documented,"Input Data: general references without descriptions, lacks specific datasets, links, or DOIs.
Methods: process for developing mobile map apps and workflows described, no code or implementation details provided.
Results: documented with usability study results and user feedback in figures and tables, but no raw data shared.
Computational Environment: Esri tools and ArcGIS Online mentioned, but no hardware, OS, or runtime details provided.",NA,NA
agile,agile_2018_010,2018,Introducing Spatial Variability to the Impact Significance Assessment,T,no,no,2,MM,NA,NA,F,NA,,NA,NA
agile,agile_2018_011,2018,"Development of System for Real-Time Collection, Sharing, and Use of Disaster Information",F,no,no,2,PK,0 undocumented,0 undocumented,F,1 documented,"Assessed simulation and validation experiments, not system construction.",NA,NA
agile,agile_2018_012,2018,A Top-Down Algorithm with Free Distance Parameter for Mining Top-k Flock Patterns,F,no,no,2,AG,2 available,1 documented,F,1 documented,Data: Geolife ,NA,NA
agile,agile_2018_013,2018,Optimization and Evaluation of a High-Performance Open-Source Map-Matching Implementation,F,no,no,2,TN,2 available,1 documented,F,1 documented,"TN: 
- algorithm is documented by text, figures, formulas, and implementation as part of the Graphium framework, available via GitHub
- trajectory dataset available for evaluation 
- scripts used for evaluation (e.g. calculating metrics), are not available (or not directly identifiable from the repository) 
- results of evaluation documented as text, figures and tables, but no raw results 
- description of hardware configuration given, but operating system missing ",NA,NA
agile,agile_2018_014,2018,A Personalized Location-Based and Serendipity-Oriented Point of Interest Recommender Assistant Based on Behavioral Patterns,F,no,no,2,DN,0 undocumented,1 documented,F,1 documented,"DN: new recommender system whose feasibiliy is proven by experiments; POI data ""from OSM"" and Android app + Java server component; ",F,NA
agile,agile_2018_015,2018,Identifying and Interpreting Clusters of Persons with Similar Mobility Behaviour Change Processes,F,no,no,2,EK,0 undocumented,1 documented,F,1 documented,"External data source domain not available anymore;
No link to any materials is provided;
Computational environment partly documented",NA,NA
agile,agile_2018_016,2018,Mixed Traffic Trajectory Prediction Using LSTM–Based Models in Shared Space,F,no,no,2,RD,1 documented,1 documented,F,0 undocumented,"Article retrieved from Sci-Hub
- Data: comes from an arXiv article. The link into the biblio doesn't work ( https://arxiv.org/abs/170909412). I search it through google, the right url was: https://arxiv.org/abs/1709.09412. In this paper, I couldn't find any link to the data.
- Code: Method is well described but not link to code are provided
- Computationnal: Runtime and OS is missing (but the rest is documented)
- Output: no information about how they produce their figs.",NA,NA
agile,agile_2018_017,2018,A Framework for the Management of Deformable Moving Objects,F,no,no,2,ST,0 undocumented,1 documented,F,1 documented,"Input Data: data from synthetic sources and Antarctic iceberg movement referenced no real description, lacks detailed subsets or links (not working).
Methods: compatible triangulation and rigid interpolation methods for moving objects described, no code provided.
Results: documented with visualizations of interpolation and movement for icebergs, but no raw data shared.
Computational Environment: PostgreSQL, PostGIS, and C++ custom libraries mentioned, but lacks hardware, OS, or runtime details.",NA,NA
agile,agile_2018_018,2018,A Positional Quality Control Test Based on Proportions,T,no,no,2,MM,NA,NA,F,NA,"Proposes a test and shows a couple of application examples, but purely mathematical/statistical",NA,NA
agile,agile_2018_019,2018,Animation as a Visual Indicator of Positional Uncertainty in Geographic Information,F,no,no,2,PK,2 available,2 available,F,2 available,,NA,NA
agile,agile_2019_001,2019,Place Questions and Human-Generated Answers: A Data Analysis Approach,F,no,no,1,MM,2 available,1 documented,F,2 available,"Data and results: GitHub repo
Methods: GitHub repo, no versions mentioned",NA,NA
agile,agile_2019_002,2019,Relaxing Unanswerable Geographic Questions Using A Spatially Explicit Knowledge Graph Embedding Model,F,no,no,1,PK,2 available,1 documented,F,1 documented,"Data: Available in Github
Method: Described, but links to key details are dead",F,NA
agile,agile_2019_003,2019,Evaluating the Effectiveness of Embeddings in Representing the Structure of Geospatial Ontologies,F,no,no,1,AG,0 undocumented,1 documented,F,1 documented,review based on ResearchGate version; links to Tweets broken (cannot be reproduced),NA,NA
agile,agile_2019_004,2019,Web-Based Visualization of Big Geospatial Vector Data,F,no,no,1,TN,0 undocumented,1 documented,F,1 documented,"TN: 
- paper describes an implementation, evaluation of different components was conducted. Dataset used shown as figure but not available and not further documented 
- Evaluation described, results shown via graphs, but no scripts available how evaluation was conducted 
- described which software was used for different components of implementation (e.g. JVM languages, GeoRocket, MongoDB, Elasticsearch), but no repository or demo available
- formulas, pseudo-code, illustration given which explain implementation
- described that performance measurements were done on MacBook Pro 13-inch (2017, 16 GB
memory, Core i5 3.1 Ghz processor) but further information needed to reproduce e.g. operating system ",NA,NA
agile,agile_2019_005,2019,A Clustering-Based Framework for Understanding Individuals’ Travel Mode Choice Behavior,F,no,no,1,DN,1 documented,1 documented,F,1 documented,"DN: individual movement GPS data, sensitive, not publicly linked; experimental dataset, all analyses steps only described in paper",F,NA
agile,agile_2019_006,2019,Classification of Urban and Rural Routes Based on Motorcycle Riding Behaviour,F,no,no,1,EK,0 undocumented,1 documented,F,1 documented,"AGILE repro review not in place yet;
Study exploratory in nature, yet the few collected data could have been shared, although there's not much analysis going on;
The strength of the paper lies in how the data was collected (sensors) - then a simple visualization is performed ",NA,NA
agile,agile_2019_007,2019,Route Choice Decisions of E-bike Users: Analysis of GPS Tracking Data in the Netherlands,F,no,no,1,RD,0 undocumented,0 undocumented,F,0 undocumented,"Review based on the sci-hub version
- Data : OSM data (no additional details provided) and GPS tracking data from a national smartphone app (no link provided)
- code : no link provided nor pseudo-code",NA,NA
agile,agile_2019_008,2019,Route Optimisation for Winter Maintenance,F,no,no,1,ST,0 undocumented,1 documented,F,1 documented,"Input data: referenced data from the Danish Road Directorate’s system, but no specific links or subsets provided.
Methods: optimization methods (GRASP, Simulated Annealing) documented (pseudo-code), no code.
Results: documented with route length and service time reductions, but no raw data shared.
Computational environment: Python mentioned, but no complete details on hardware, OS, or runtime specifics.",NA,NA
agile,agile_2019_009,2019,Tracing Tourism Geographies with Google Trends: A Dutch Case Study,F,no,no,1,MM,2 available,1 documented,F,2 available,"Data and results: GitHub repo
Results: no versions mentioned",NA,NA
agile,agile_2019_010,2019,Estimating the Spatial Distribution of Vacant Houses Using Public Municipal Data,F,no,no,1,PK,0 undocumented,1 documented,F,1 documented,"Data: unclear if public data can all be accessed. Field survey data not shared.
Method: Missing essential detials (e.g., random seeds, specifications)",F,NA
agile,agile_2019_011,2019,Enhancing the Use of Population Statistics Derived from Mobile Phone Users by Considering Building-Use Dependent Purpose of Stay,F,no,no,1,AG,0 undocumented,1 documented,F,1 documented,,NA,NA
agile,agile_2019_012,2019,Potential of Crowdsourced Traces for Detecting Updates in Authoritative Geographic Data,F,no,no,1,TN,1 documented,1 documented,F,1 documented,"TN: 
- datasets taken from BDTOPO and different sport activities websites (randoGPS, tracesGPS, vusiGPS, VTTour). Websites and data described but the exact used dataset for evaluation not available  
- methods described by text e.g. criterions by rules, formulas 
- results described by text, but no dataset available ",NA,NA
agile,agile_2019_013,2019,A Scalable Analytical Framework for Spatio-Temporal Analysis of Neighborhood Change: A Sequence Analysis Approach,F,no,no,1,DN,1 documented,1 documented,F,1 documented,"DN: base data is UK census data and can likely be accessed, but https://popchange.liverpool.ac.uk/ and thereby the main preprocessing step likely not avalable anymore (source code from 9 years ago at https://github.com/ClearMappingCo/popchange-web); analysis described in good detail in text; two relevant used R packages still exist, but no version, code, or output data is shared;",F,NA
agile,agile_2019_014,2019,Improving Business-as-Usual Scenarios in Land Change Modelling by Extending the Calibration Period and Integrating Demographic Data,F,no,no,1,EK,0 undocumented,1 documented,F,1 documented,"AGILE repro review not in place yet;
The text describes the analysis steps in high detail;
I was not able to find any info about the data sources",NA,NA
agile,agile_2019_015,2019,Market Area Delineation for Airports to Predict the Spread of Infectious Disease,F,no,no,1,RD,2 available,2 available,F,0 undocumented,"Retrieve article from Sci-hub:
- Data source well described. Links provided refer to archived dataset (but 1 link was dead, and 1 was redirected to a city SDI but authors gave the extracting time for their study. 
- Code : Qgis was used along with python script (GH repo given)
- Post-processing: I couldn't find it. I don't know how authors generated their plots",NA,NA
agile,agile_2019_016,2019,Reflective Practice: Lessons Learnt by Using Board Games as a Design Tool for Location-Based Games,T,no,no,1,ST,NA,NA,F,NA,,NA,NA
agile,agile_2019_017,2019,Agent-Based Simulation for Indoor Manufacturing Environments—Evaluating the Effects of Spatialization,F,no,no,1,MM,1 documented,1 documented,F,1 documented,"Data: Simulation env. described
Methods: Software version and parameters provided",NA,NA
agile,agile_2019_018,2019,Towards a Usability Scale for Participatory GIS,F,no,no,1,PK,2 available,1 documented,F,1 documented,Data: Only complete records available. incomplete response not provided.,F,NA
agile,agile_2019_019,2019,Future Occupational Profiles in Earth Observation and Geoinformation—Scenarios Resulting from Changing Workflows,T,no,no,1,AG,0 undocumented,1 documented,F,0 undocumented,"Could be considered ""conceptual"". Data: survey responses re GIS occupation profiles (http://www.eo4geo.eu/surveys/); some visualizations available in https://public.tableau.com/app/profile/florian.albrecht/vizzes",NA,NA
agile,agile_2020_001,2020,Exploring Factors that Influence Individuals’ Choice Between Internal Combustion Engine Cars and Electric Vehicles,F,no,yes,4,EK,0 undocumented,1 documented,F,1 documented,"- Input data not available, but described in detail in the text.
- Methods and results described in the text (as they should be to get published), but not made available to an external repo. Implementation details not mentioned at all.",F,NA
agile,agile_2020_002,2020,On the Evaluation and Comparison of Region Interpolation Methods,F,yes,yes,4,RD,0 undocumented,1 documented,F,0 undocumented,"This is mainly a conceptual paper but there is a section with experimental results
- input data: a paper is referenced for describing input data (satellite images over Antartic). They also use synthetic data without any futher description
- methodology: it seems to me that it's a manual methodology. Authors provided link to the software they evaluated through their methodology but 2/3 are dead links
- results: no information on how tables and figures have been created",F,NA
agile,agile_2020_003,2020,Documentation of cultural heritage monuments with CityGML: an application for ancient theatres,T,no,yes,4,ST,NA,NA,F,NA,Extending CityGML for cultural heritage documentation. t does not include computational work with raw data or specific datasets,F,NA
agile,agile_2020_004,2020,A taxonomy for classifying user groups in location-based social media,F,no,yes,4,MM,1 documented,0 undocumented,F,1 documented,"Data: retrievable using Twitter/X API. However, it might require a ""Pro"" subscription ($5000/month)",F,NA
agile,agile_2020_005,2020,Integrating cellular automata and discrete global grid systems: a case study into wildfire modelling,F,yes,yes,4,PK,3 available & open,3 available & open,T,1 documented,"Data: Inherits project DOI? However, only some data is provided.
Method: Yes for components where data is avaiable.",T,https://doi.org/10.17605/OSF.IO/ZTC7M
agile,agile_2020_006,2020,What to do in the Meantime: A Service Coverage Analysis for Parked Autonomous Vehicles,F,yes,yes,4,AG,1 documented,1 documented,F,1 documented,"Data: partially available
Method: OSF repo (but I cannot access it ""you need permission"")
Results: partially reproducible according to repro study",T,https://doi.org/10.17605/OSF.IO/5SVMT
agile,agile_2020_007,2020,Spatial Data Lake for Smart Cities: From Design to Implementation,F,yes,yes,4,TN,2 available,2 available,T,2 available,"TN:
- code shared via GitHub (harvesting & data lake deployment) licensed GPL-3 but DOI missing. 
- input data for Montpellier case study available via GitHub link, but DOI seems to be missing 
- information about the computing environment is available in paper as well as via GitHub, exact hardware specifications or version numbers seem to be partly missing, however, due to the detailed ansible scripts the computing environment is considered as given. ",F,NA
agile,agile_2020_008,2020,Extraction of The Spatio-temporal Activity Patterns Using Laser-scanner Trajectory Data,F,no,yes,4,DN,0 undocumented,0 undocumented,F,1 documented,"DN: algorithm is described with text, figures and formulas but in part lacks details; collected obervation data is not shared; results documented with figures (no data); ",F,NA
agile,agile_2020_009,2020,Scalable processing of massive geodata in the cloud: generating a level-of-detail structure optimized for web visualization,F,no,yes,4,EK,1 documented,1 documented,T,1 documented,"- Publishing data is not allowed (is also huge) but can be retrieved from original source. However, more guidance on the original source UI could have been provided.
- Computational environment details provided in the manuscript.
- Description of the prototype and performance results described in the text, but could not find any reference to source code.",F,NA
agile,agile_2020_010,2020,Hey You! Let’s Talk. Dialogue-Initiatives Revisited for Wayfinding Instructions,F,yes,yes,4,RD,3 available & open,1 documented,F,NA,"-input: All the data are in a zenodo link. This dataset contains transcript of phone conversation between two people, one guiding (by instruction) the other one in German cities, and qgis project with roads.
- methodology: constitution of pairs (sender and receiver of guiding instructions)
- results: it's an analysis of discussion, it seems there is no software developped to analyse the conversations. It's a manual analysis and no fig or tables are provided",F,NA
agile,agile_2020_011,2020,Short-term Traffic Demand Prediction using Graph Convolutional Neural Networks,F,no,yes,4,ST,1 documented,1 documented,F,1 documented,"Input Data: NYC Taxi and Limousine Commission dataset referenced and accessible, but preprocessing steps and specific subsets are not detailed.
Methods: graph convolutional neural network methods and adjacency matrix designs are described; code is not shared.
Results: results include RMSE, sMAPE metrics, and model comparisons, but output data is not shared.
Computational Environment: mentions Python and specific models, but no hardware, OS, or runtime details provided.",F,NA
agile,agile_2020_012,2020,Semantically-Enriched Search Engine for Geoportals: A Case Study with ArcGIS Online,F,yes,yes,4,MM,1 documented,2 available,F,1 documented,"Data: steps to generate the dataset are described
Methods: available on GitHub",F,NA
agile,agile_2020_013,2020,Uncovering spatiotemporal biases in place-based social sensing,F,yes,yes,4,PK,2 available,2 available,F,1 documented,,F,NA
agile,agile_2020_014,2020,Comparing supervised learning algorithms for Spatial Nominal Entity recognition,F,no,yes,4,AG,1 documented,2 available,F,1 documented,"Data: mixed availability according to repro study
Method: GH repo
Results: repro mostly successful according to repro study",T,https://doi.org/10.17605/OSF.IO/SUWPJ
agile,agile_2020_015,2020,Whom to Follow? A Comparison of Walking Routes Computed Based on Social Media Photos from Different Types of Contributors,F,yes,yes,4,TN,2 available,1 documented,F,1 documented,"TN:
- input data from flickr available via GitHub (GPL-3.0), no DOI available. Data from GPSMYCITY available via link 
- code for orienteering problem available via GitHub, no repository description, licence and DOI available
- no scripts available for figures 
- Results of experiment documented by text, but no raw data ",F,NA
agile,agile_2020_016,2020,Creation of a Model for Estimating the Home-return Rate of Evacuees Using Mobile Phone Movement Histories and Its Application to the Nankai Trough Earthquake,F,no,yes,4,DN,0 undocumented,0 undocumented,F,1 documented,"DN: model based on mobile phone location (GPS) data (people flow); 1.5 million people, proprietary datasets - company names mentioned but not more; survey data by ministry, national census and meteorological data also used; model described with text and formula; model results documented with (bad) plots; other data sources cited but not available; results are just documented with one map/figure",F,NA
agile,agile_2020_017,2020,Selection of Stopover Stations by Homeward-bound Railway Users,F,no,yes,4,EK,0 undocumented,1 documented,F,1 documented,"- Input dataset (PT data) nowhere linked or cited
- Methods and results documented in manuscript",F,NA
agile,agile_2020_018,2020,Tracking Hurricane Dorian in GDELT and Twitter,F,yes,yes,4,RD,2 available,2 available,T,2 available,"A GH repository with data and code
- input data: Tweets ID and SQL Query for GDELT (not free)
- Methodology: code provided
- results: it seems to be provided when reading the paper but the reproducibility reviewers stated that some figs were missing.
- Computational env is well described",T,https://doi.org/10.17605/OSF.IO/XS5YR
agile,agile_2020_019,2020,Analysis and mapping of crime perception: A quantitative approach of sketch maps,F,no,yes,4,ST,1 documented,1 documented,F,1 documented,"Input Data: crime incidents from Budapest police records and sketch maps collected via participatory surveys are referenced, but no raw datasets or direct links are provided.
Methods: spatial modeling, logistic regression, and spatial autocorrelation analyses are described, but no code or workflows are shared.
Results: results include visualizations of crime perception accuracy, spatial patterns, and statistical summaries; no output data is shared.
Computational Environment: mentions use of GIS tools and statistical methods, but no hardware, OS, or runtime details are provided.",F,NA
agile,agile_2020_020,2020,Window Operators for Processing Spatio-Temporal Data Streams on Unmanned Vehicles,F,yes,yes,4,MM,2 available,2 available,F,2 available,"Data, methods and resuts: available in Figshare",T,https://doi.org/10.17605/OSF.IO/7TWR2
